2011-12-26 01:39:42 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 01:45:03 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column '1324871103casaMuda.jpg' in 'field list'</span> in [/var/www/cake_primero/cake/libs/model/datasources/dbo_source.php, line 684]
2011-12-26 01:45:03 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 01:59:15 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 02:09:35 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'ipsum dolor sit amet, consectetur adipiscing elit. Curabitur semper rhoncus lacu' at line 1</span> in [/var/www/cake_primero/cake/libs/model/datasources/dbo_source.php, line 684]
2011-12-26 02:09:35 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 02:21:58 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 02:23:32 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 02:59:21 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'Array"  WHERE `Actor`.`id` = 28' at line 1</span> in [/var/www/cake_primero/cake/libs/model/datasources/dbo_source.php, line 684]
2011-12-26 02:59:21 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 03:02:06 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'Array"  WHERE `Actor`.`id` = 28' at line 1</span> in [/var/www/cake_primero/cake/libs/model/datasources/dbo_source.php, line 684]
2011-12-26 03:02:06 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
2011-12-26 03:02:25 Warning: Warning (512): <span style="color:Red;text-align:left"><b>SQL Error:</b> 1064: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'Array"  WHERE `Actor`.`id` = 28' at line 1</span> in [/var/www/cake_primero/cake/libs/model/datasources/dbo_source.php, line 684]
2011-12-26 03:02:25 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /var/www/cake_primero/cake/libs/debugger.php:683) in [/var/www/cake_primero/cake/libs/controller/controller.php, line 742]
